Email,Leadership,Phone,Name,Acronym,Nation,Affiliated,Recorded By,Recorded Date
,,+886-2-8772-6372,Chinese TaipeiCheerleading Association,CTCA,Chinese Taipei,International Cheer Union,Eduardo Fernandes,03/02/2022
cfhkemail@gmail.com,President YEN Danny,+852-25279288,"Cheerleading Federation of Hong Kong, China ",CFHK,"Hong Kong, China",International Cheer Union,Eduardo Fernandes,03/02/2022
,President Shri Subhash,,,,India,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Dee Anggraini,,Asosiasi Pemandu Sorak Indonesia ,Indonesian Cheerleading Association,Indonesia,International Cheer Union,Eduardo Fernandes,03/02/2022
c-japan@jfscheer.org,,,,,Japan,International Cheer Union,Eduardo Fernandes,03/02/2022
contact@kazcheerunion.kz,President Ruslan Mammadov,77012020999,,,Kazakhstan,International Cheer Union,Eduardo Fernandes,03/02/2022
cheersport_kr@mail.ru,President Tatyana KUZNETSOVA,,Union of Cheer Sport and Cheerleading of the Kyrgyz Republic ,UCKR,Kyrgyzstan,International Cheer Union,Eduardo Fernandes,03/02/2022
khompanya1111@gmail.com,,,Laos Cheerleading,,Laos,International Cheer Union,Eduardo Fernandes,03/02/2022
,President XIANG Ling,,"Macau Cheerleading Popularization Association, China ",MCPA,"Macau, China",International Cheer Union,Eduardo Fernandes,03/02/2022
,President CHONG Siew,,Cheerleading Association and Register of Malaysia ,CHARM,Malaysia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,97699884713,,,Mongolia,International Cheer Union,Eduardo Fernandes,03/02/2022
pakistancheerunionassociation@gmail.com,President Malik Muslehuddin,,Pakistan CheerUnion Association ,PCUA,Pakistan,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Peoples Republic of China,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Carlos Valdes,,PHILIPPINE CHEERLEADING ALLIANCE ,PCA,Philippines,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Sun Hwa,,Korea Cheerleading Association ,KCA,Republic of Korea,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Saudi Arabia,International Cheer Union,Eduardo Fernandes,03/02/2022
cas@cheerleading.org.sg,President Lin Fuxiang,,Cheerleading Association ,Singapore,Singapore,International Cheer Union,Eduardo Fernandes,03/02/2022
,President SC Wijesinghe,94,,,Sri Lanka,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Rutchanee PREEDAKAMONRAT,,"Dr. Suebsai BOONVEERABUT, President",,Thailand,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Petra Godart,,UAE Cheerleading Association,,United Arab Emirates (UAE),International Cheer Union,Eduardo Fernandes,03/02/2022
uzsporfederations@gmail.com,President Sabina Rizvanova,79262055928,Federation Cheer Sport and Cheerleading of Uzbekistan ,FCSU,Uzbekistan,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Vietnam,International Cheer Union,Eduardo Fernandes,03/02/2022
armcheerunion@gmail.com,,,All Armenian Union of Cheer Sport and Cheerleading,,Armenia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Austria,International Cheer Union,Eduardo Fernandes,03/02/2022
aziz.azizli@mail.ru,,,Azerbaijan Cheerleading Association,,Azerbaijan,International Cheer Union,Eduardo Fernandes,03/02/2022
cheerleader@tut.by,,,,,Belarus,International Cheer Union,Eduardo Fernandes,03/02/2022
info@belgiancheer.de,,,,,Belgium,International Cheer Union,Eduardo Fernandes,03/02/2022
cheerunionbih@gmail.com,,,Cheer Union of Bosnia and Herzegovina ,CUBAH,Bosnia and Herzegovina,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Milko Kralski,359,,,Bulgaria,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Slavica Donkov,,Hrvatski Cheerleading Savez ,Croatian Cheerleading Federation,Croatia,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Maritna Marešová,420,,,Czech Republic,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,Danish Cheerleading Committee,,Denmark,International Cheer Union,Eduardo Fernandes,03/02/2022
sportcheerengland@gmail.com,,,,,England,International Cheer Union,Eduardo Fernandes,03/02/2022
cheerleadinguliit@gmail.com,,,Estonian Cheerleading Union ,EstCU,Estonia,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Valimotie 10,358,,,Finland,International Cheer Union,Eduardo Fernandes,03/02/2022
,,33,,,France,International Cheer Union,Eduardo Fernandes,03/02/2022
vkuzmidi@gmail.com,President Valentina Kuzmidi,,,,Georgia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Germany,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,More information coming soon,,Gibraltar,International Cheer Union,Eduardo Fernandes,03/02/2022
info@scgb.org.uk,,,SportCheerUK,,Great Britain,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Michael Mike,+30.2108979685,,,Greece,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,More information coming soon,,Guernsey,International Cheer Union,Eduardo Fernandes,03/02/2022
hungary.ecc@gmail.com,,,,,Hungary,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,Cheer Dance Academy,,Israel,International Cheer Union,Eduardo Fernandes,03/02/2022
info@ficec.it,President Ivo SEQUANI,+39.328.246.9477,,,Italy,International Cheer Union,Eduardo Fernandes,03/02/2022
info@karseji.lv,President Katrīna Dimitre,37126575750,,,Latvia,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Patrick VAN,+352.20.88.1899,Fédération Luxembourgeoise de Sports Chorégraphiques – Cheerleading ,FLSC,Luxembourg,International Cheer Union,Eduardo Fernandes,03/02/2022
info@fdmem.md,,,Federation of Modern and Pop Dance of Moldova Cheer Committee,,Moldova,International Cheer Union,Eduardo Fernandes,03/02/2022
izabella992@gmail.com,,,Cheerleaders Bellissima,,Montenegro,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Netherlands,International Cheer Union,Eduardo Fernandes,03/02/2022
vanjapetrusevska@yahoo.com,,,Youth Cheer Club,,North Macedonia,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Aoibheann Carlin,44,,,Northern Ireland,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Norway,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Piotr Patłaszyński,,,,Poland,International Cheer Union,Eduardo Fernandes,03/02/2022
irishcheersport.president@gmail.com,,,,,Republic of Ireland,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Luca Ruggeri,,Club di San Marino,,Republic of San Marino,International Cheer Union,Eduardo Fernandes,03/02/2022
asociatia_majorete_romania@yahoo.com,President Dr Mihai,,Romanian Majorettes and Cheer Association ,RMCA,Romania,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Russian Federation,International Cheer Union,Eduardo Fernandes,03/02/2022
info@sportcheerscot.org.uk,,,,,Scotland,International Cheer Union,Eduardo Fernandes,03/02/2022
cheerleadingrs@gmail.com,President Dragana Ilic,,,,Serbia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,386,,,Slovenia,International Cheer Union,Eduardo Fernandes,03/02/2022
contacto@espanacheerdance.es,,,,,Spain,International Cheer Union,Eduardo Fernandes,03/02/2022
,,707,,,Sweden,International Cheer Union,Eduardo Fernandes,03/02/2022
info@swisscheer.ch,President Cristina Hengartner,,,,Switzerland,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Attn Committee,+38(044)2553125,All-Ukrainian Cheerleading Federation,,Ukraine,International Cheer Union,Eduardo Fernandes,03/02/2022
Info@scwales.org,,,,,Wales,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,American Samoa,International Cheer Union,Eduardo Fernandes,03/02/2022
australiancheerunion@gmail.com,,,,,Australia,International Cheer Union,Eduardo Fernandes,03/02/2022
,,,,,Guam,International Cheer Union,Eduardo Fernandes,03/02/2022
,President Kimberely Ramsay,,NZ Cheerleading Association ,NZCA,New Zealand,International Cheer Union,Eduardo Fernandes,03/02/2022
