Name,Acronym,Email,Website,Phone1,Phone2,Affiliated,Recorded By,Recorded Date
Clube Atlético do Montijo,CAM,geral@camontijo.com,www.camontijo.com,914077830,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Angra do Heroísmo,CNA,clubenauticoah@outlook.com,www.clubenauticoangra.com,969903232,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Cultural e Recreativa Saavedra Guedes,ACR,ant.amadoresteves@sapo.pt,,234286352,964009095,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Naval Amorense,ANA,anamorense@gmail.com,,926693218,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Águas Bravas Clube,ÁBC,mariosilvaatg@msn.com,,933352187,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Darque Kayak Clube,DKC,darquekc@sapo.pt,,258405017,965192731,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Arcos de Valdevez,CNA,cnarcosvaldevez@gmail.com,,258000000,936105317,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Grupo Naval de Olhão,GNO,g.n.olhao@sapo.pt,www.gnolhao.com,289703519,919706373,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Angra Iate Clube,AIC,angraiateclube@gmail.com,www.angraiateclube.com,295216530,927489951,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Naval de Sesimbra,CNS,secnaval.sesimbra@mail.telepac.pt,www.naval-sesimbra.pt,212233451,965100200,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Naval da Calheta,CNC,clubenavaldacalheta@gmail.com,,963014516,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Desportivo,,cdpatoscanoagem@gmail.com,www.cdospatos.pt,241000000,963061294,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Liga-dura Desporto Cultura Espetáculo e conhecimento,LDC,geral@ligadura.pt,,917142945,919202020,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube do Mar Costa do Sol - CMCS,CMC,direcao.cmcs@gmail.com,,963245347,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Centro de Canoagem do Oeste,CCO,ccanoagemoeste@gmail.com,,913181868,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Fluvial de Merelim,CFM,clubefluvialmerelim@gmail.com,,914953922,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Aventura Marão Clube,AMC,slalomaventuramarao@gmail.com,www.aventuramaraoclube.com,255440047,911588671,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube de  Canoagem e Aguas Bravas de Portugal,CCA,ccabp.geral@gmail.com,,939771663,933152564,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube de Canoagem de Amora,CCA,ccamora@gmail.com,www.ccamora.com,214044551,964375627,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Náutica da Torreira,ANT,ant.geral@gmail.com,,234868225,924372909,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Marecos,CNM,cnmarecos04@gmail.com,,224509085,919506731,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Salvaterra de Magos,CNS,cnsm.canoagem@gmail.com,www.cnsm.pt,263504566,914391687,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Kayak Clube Castores do Arade,KCC,nunossilvas@sapo.pt,,282411054,968065454,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Ludens Clube de Machico,LCM,ludensmachico@gmail.com,www.ludensmachico.com,291964250,925783480,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Gaia Kayak Clube,GKC,gaiakayakclube@gmail.com,,915974010,931804185,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube de Canoagem de Ovar,CCO,ccovar@gmail.com,www.ccovar.com,917314227,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Infante de Montemor,CIM,infantemontemor@sapo.pt,www.cimontemor.pt,239680546,913401495,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Náutica de Câmara de Lobos,ANC,anclobos@hotmail.com,,917982290,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Sport Lisboa e Benfica,SLB,operacoes.modalidade@slbenfica.pt,www.slbenfica.pt,217219535,961353611,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Douro Canoa Clube,DCC,dourocanoa@gmail.com,www.dourocanoa.pt,919713863,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Casa do Benfica em Montemor-o-Velho,CBM,cbmontemorovelho@slbenfica.pt,,239680169,966113048,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico do Litoral Alentejano,CNL,geral@cnlitoralalentejano.pt,www.cnlitoralalentejano.pt,964869687,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Kayak-Polo da Barra,CKP,clubekayakpolobarra@gmail.com,www.ckbarra.com,916044999,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Viana Garças Clube,VGC,vianagarcas@gmail.com,,258024372,933204217,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
ADN Ponta do Sol,ADN,adnpontadosol@gmail.com,,967804805,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico Mondego,CNM,clubenauticomondego@gmail.com,,239680002,915689218,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
ACC - Associação Canoagem de Cacia,ACC,ass.canoagemcacia@gmail.com,https://www.facebook.com/associacaocanoagemcacia,919556887,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Núcleo Desportivo e Cultural de Vila da Ponte,AND,nucleodesportivo@gmail.com,,963945733,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Desportiva Naval Remo,ADN,GERAL@NAVALREMO.PT,www.navalremo.pt,233098493,916981363,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Caldas de Aregos,CNC,cnca.douro@gmail.com,,966648970,917076675,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Douro Canoa Clube,DCC,dourocanoa@gmail.com,www.dourocanoa.pt,919713863,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Casa do Benfica em Montemor-o-Velho,CBM,cbmontemorovelho@slbenfica.pt,,239680169,966113048,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico do Litoral Alentejano,CNL,geral@cnlitoralalentejano.pt,www.cnlitoralalentejano.pt,964869687,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Kayak-Polo da Barra,CKP,clubekayakpolobarra@gmail.com,www.ckbarra.com,916044999,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Viana Garças Clube,VGC,vianagarcas@gmail.com,,258024372,933204217,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
ADN Ponta do Sol,ADN,adnpontadosol@gmail.com,,967804805,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico Mondego,CNM,clubenauticomondego@gmail.com,,239680002,915689218,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
ACC - Associação Canoagem de Cacia,ACC,ass.canoagemcacia@gmail.com,https://www.facebook.com/associacaocanoagemcacia,919556887,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Núcleo Desportivo e Cultural de Vila da Ponte,AND,nucleodesportivo@gmail.com,,963945733,,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Associação Desportiva Naval Remo,ADN,GERAL@NAVALREMO.PT,www.navalremo.pt,233098493,916981363,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
Clube Náutico de Caldas de Aregos,CNC,cnca.douro@gmail.com,,966648970,917076675,Federação Portuguesa de Canoagem,Eduardo Fernandes,02/03/2022
,,,,,,,,
